subj,node1,node2,irt5,irt9,irt95
S105,fish,ostrich,1,1,1
S105,cow,sheep,1,1,1
S105,elephant,zebra,1,1,0
S105,giraffe,lion,1,1,1
S105,bat,skunk,1,1,1
S105,dog,fish,1,1,1
S106,cow,possum,1,1,1
S106,alligator,elephant,1,1,1
S106,flamingo,penguin,0,1,0
S106,possum,rabbit,0,0,1
S106,possum,raccoon,1,1,0
S106,armadillo,mouse,1,1,1
S106,cat,tiger,1,1,0
S106,flamingo,polarbear,1,1,1
S106,kangaroo,skunk,1,1,1
S106,duck,polarbear,1,0,0
S106,bear,hawk,1,1,1
S106,horse,lion,1,1,1
S106,coyote,hawk,0,0,1
S106,kangaroo,panda,1,1,1
S106,buffalo,chicken,1,1,1
S106,raccoon,squirrel,1,1,1
S106,buffalo,lemur,1,1,1
S106,bear,giraffe,1,1,0
S106,bear,elephant,1,1,1
S106,coyote,giraffe,1,1,1
S106,bat,cat,1,1,0
S106,dog,possum,1,1,0
S106,possum,skunk,1,0,1
S106,chicken,giraffe,0,0,1
S106,armadillo,kangaroo,1,0,0
S106,coyote,lemur,1,1,1
S106,bear,penguin,1,0,0
S106,duck,walrus,1,1,1
S106,alligator,rabbit,1,1,1
S106,horse,snake,1,1,1
S106,giraffe,hawk,1,1,0
S106,alligator,penguin,0,1,0
S106,penguin,pig,0,0,1
S106,bat,mouse,1,0,1
S106,eagle,giraffe,1,1,0
S106,alligator,panda,1,1,1
S106,elephant,pig,1,1,1
S106,mouse,skunk,0,1,0
S106,alligator,walrus,1,0,1
S106,hawk,penguin,1,1,1
S106,bat,squirrel,0,0,1
S106,armadillo,skunk,1,1,1
S106,eagle,mouse,0,0,1
S106,bat,tiger,0,0,1
S106,duck,flamingo,1,1,1
S106,bat,dog,1,1,1
S106,cat,elephant,1,1,0
S106,cow,raccoon,1,1,1
S106,eagle,gerbil,1,1,0
S106,cat,possum,1,1,1
S107,greatwhiteshark,squid,0,1,0
S107,hawk,sparrow,1,1,1
S107,flamingo,toad,1,1,1
S107,bulldog,waterbuffalo,1,0,0
S107,cougar,horse,1,1,0
S107,porpoise,waterbuffalo,1,1,1
S107,orca,panda,1,1,0
S107,chimpanzee,hippopotamus,1,0,0
S107,robin,stork,1,1,1
S107,bat,chicken,1,1,1
S107,seaturtle,snappingturtle,1,1,1
