subj,node1,node2,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,zibb1,zibb2,zibb3,zibb4,zibb5,zibb6,zibb7,zibb8,zibb9
S100,turtle,moth,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,goldfish,hamster,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,bear,lion,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,antelope,elk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,salmon,trout,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S100,kangaroo,buffalo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,dove,worm,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,groundhog,duck,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,goat,rabbit,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,capybara,camel,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,tortoise,aardvark,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,seal,polarbear,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,owl,finch,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,spider,cockroach,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,chicken,turkey,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
S100,walrus,lobster,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,possum,deer,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S100,grizzlybear,bat,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,boar,fish,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,prairiedog,lizard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100,clownfish,lobster,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,boar,pig,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
S100,elephant,mongoose,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
S100,squid,shrimp,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
S100,elephant,meerkat,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
