subj,node1,node2,u-invite,priming,rw,windowgraph
S11,bat,mosquito,1,1,1,1
S11,worm,inchworm,1,1,1,1
S11,siberiantiger,minniow,1,1,1,1
S11,shark,bottlenoseddolphin,1,1,1,1
S11,beagle,goldendoodle,1,1,1,1
S11,hawk,baldeagle,1,1,1,1
S11,crocodile,alligator,1,1,1,1
S11,human,grizzlybearbear,1,1,1,1
S11,goldfish,fish,1,1,1,1
S11,shark,beagle,1,1,1,1
S11,giraffe,zebra,1,1,1,1
S11,rhinoceros,hippopotamus,1,1,1,1
S11,sealion,seal,1,1,1,1
S11,chimpanzee,bonobo,1,1,1,1
S11,bird,stork,1,1,1,1
S11,sealion,hammerheadshark,1,1,1,1
S11,polarbear,blackbear,1,1,1,1
S11,stallion,mustang,1,1,1,1
S11,catfish,oyster,1,1,1,1
S11,moose,gazelle,1,1,1,1
S11,aardvark,mouse,1,1,1,1
S11,greatape,ape,1,1,1,1
S11,frog,toad,1,1,1,1
S11,goldfish,sunfish,1,1,1,1
S11,corgi,pug,1,1,1,1
S11,whale,whaleshark,1,1,1,1
S11,ladybug,ant,1,1,1,1
S11,lion,tiger,1,1,1,1
S11,poodle,labradoodle,1,1,1,1
S11,bird,horse,1,1,1,1
S11,squirrel,beacer,1,1,1,1
S11,sharpei,yorkie,1,1,1,1
S11,antelope,pomeranian,1,1,1,1
S11,crab,crustacean,1,1,1,1
S11,cat,siamesecat,1,1,1,1
S11,human,monkey,1,1,1,1
S11,minnow,mustang,1,1,1,1
S11,orca,dolphin,1,1,1,1
S11,owl,elfowl,1,1,1,1
S11,cobra,snake,1,1,1,1
S11,mouse,terrier,1,1,1,1
S11,zebra,horse,1,1,1,1
S11,polarbear,brownbear,1,1,1,1
S11,cougar,panther,1,1,1,1
S11,mayfly,mosquito,1,1,1,1
S11,moth,butterfly,1,1,1,1
S11,mantaray,stingray,1,1,1,1
S11,cat,mouse,1,1,1,1
S11,polarbear,anteater,1,1,1,1
S11,bear,grizzlybearbear,1,1,1,1
S11,greathornedowl,owl,1,1,1,1
S11,rabbit,cat,1,1,1,1
S11,lab,yorkie,1,1,1,1
S11,rhinoceros,cheetah,1,1,1,1
