idx,cf,ef,numitems,persev,clustersize,clusterswitch
286,0.07,0.34,12.64,0.6,2.06157287157,5.52
287,0.07,0.35,12.82,0.66,2.22729365079,5.32
288,0.08,0.0,17.0,1.12,2.35304040404,6.88
289,0.08,0.01,16.86,0.96,2.5739047619,6.22
290,0.08,0.02,16.78,1.24,2.35087373737,6.72
291,0.08,0.03,16.56,0.92,2.48577722278,6.48
292,0.08,0.04,16.56,0.98,2.33749206349,6.68
293,0.08,0.05,16.5,0.76,2.51747691198,6.26
294,0.08,0.06,16.38,0.78,2.38293290043,6.58
295,0.08,0.07,16.06,0.64,2.35045238095,6.5
296,0.08,0.08,16.14,0.88,2.27694749695,6.5
297,0.08,0.09,15.98,1.1,2.50464285714,5.96
298,0.08,0.1,15.94,0.54,2.26515512266,6.46
299,0.08,0.11,15.96,1.08,2.32442513043,6.72
300,0.08,0.12,15.6,0.72,2.09625324675,6.74
301,0.08,0.13,15.6,0.82,2.32820562771,6.38
302,0.08,0.14,15.52,0.7,2.25309163059,6.28
303,0.08,0.15,15.18,0.76,2.35327417027,6.18
304,0.08,0.16,14.8,0.92,2.15697546898,6.36
305,0.08,0.17,15.18,0.76,2.23107359307,6.34
306,0.08,0.18,15.3,0.9,2.37949206349,6.06
307,0.08,0.19,14.62,0.82,2.05481818182,6.58
308,0.08,0.2,14.82,0.66,2.13925036075,6.28
309,0.08,0.21,14.76,0.84,2.22123015873,6.06
310,0.08,0.22,14.62,0.72,2.34646825397,5.84
311,0.08,0.23,14.3,0.76,2.48077200577,5.56
312,0.08,0.24,14.14,0.96,2.14413492063,6.04
313,0.08,0.25,14.12,0.86,2.16735353535,5.96
314,0.08,0.26,14.32,0.9,2.31155411255,5.92
315,0.08,0.27,13.36,0.58,2.28564502165,5.4
316,0.08,0.28,13.6,0.9,2.4985981241,5.32
317,0.08,0.29,13.26,0.72,2.10365223665,5.9
318,0.08,0.3,13.3,0.52,2.03560606061,5.96
319,0.08,0.31,13.44,0.62,2.36473015873,5.18
320,0.08,0.32,13.04,0.76,2.2057049062,5.5
321,0.08,0.33,12.7,0.76,2.24236507937,5.0
322,0.08,0.34,13.5,0.74,2.33051082251,5.42
323,0.08,0.35,12.84,0.78,2.2301984127,5.46
324,0.09,0.0,17.0,1.14,2.24074492174,7.06
325,0.09,0.01,16.9,0.9,2.2862041847,6.96
326,0.09,0.02,16.74,1.04,2.33579437229,6.72
327,0.09,0.03,16.76,0.92,2.39164357864,6.54
328,0.09,0.04,16.52,0.86,2.3835982906,6.46
329,0.09,0.05,16.48,0.96,2.28520707071,6.78
330,0.09,0.06,16.42,1.02,2.23677561328,7.04
331,0.09,0.07,16.24,0.94,2.35964213564,6.42
332,0.09,0.08,16.32,1.06,2.15993767344,7.06
333,0.09,0.09,16.12,1.06,2.25771717172,6.62
334,0.09,0.1,15.96,0.86,2.45748412698,6.42
335,0.09,0.11,15.64,0.82,2.2483010323,6.6
336,0.09,0.12,15.62,0.96,2.47076479076,6.06
337,0.09,0.13,15.54,0.9,2.28331890332,6.46
338,0.09,0.14,15.54,1.24,2.33857792208,6.36
339,0.09,0.15,15.34,0.86,2.21528210678,6.74
340,0.09,0.16,14.88,0.94,2.328495671,5.96
341,0.09,0.17,14.94,0.88,2.36226334776,6.18
342,0.09,0.18,14.72,1.0,2.36522510823,5.82
343,0.09,0.19,14.86,1.1,2.30943650794,5.9
344,0.09,0.2,14.54,0.76,2.10619408369,6.42
345,0.09,0.21,14.5,0.94,2.2444018759,6.26
346,0.09,0.22,14.58,0.9,2.33297907648,5.76
347,0.09,0.23,14.32,0.82,2.60212698413,5.3
348,0.09,0.24,14.28,1.0,2.33952813853,5.56
349,0.09,0.25,13.82,0.88,2.28002741703,5.68
350,0.09,0.26,13.8,1.1,2.34368903319,5.44
351,0.09,0.27,13.66,0.88,2.30128787879,5.68
352,0.09,0.28,14.1,0.8,2.21032539683,6.12
353,0.09,0.29,13.76,0.8,2.36178571429,5.44
354,0.09,0.3,13.6,0.98,2.45902380952,5.26
355,0.09,0.31,12.9,0.96,2.2090952381,5.32
356,0.09,0.32,13.32,0.94,2.18914357864,5.72
357,0.09,0.33,12.74,0.8,2.00905844156,5.78
358,0.09,0.34,13.4,0.94,2.25488888889,5.42
359,0.09,0.35,12.98,0.72,2.1956031746,5.52
360,0.1,0.0,17.0,1.34,2.20855644356,7.16
361,0.1,0.01,16.92,0.98,2.45440853591,6.6
362,0.1,0.02,16.74,0.86,2.42184920635,6.58
363,0.1,0.03,16.6,1.08,2.14600505051,7.2
364,0.1,0.04,16.76,1.3,2.44408025308,6.7
365,0.1,0.05,16.52,1.24,2.19871067821,6.92
366,0.1,0.06,16.12,1.02,2.23378571429,6.56
367,0.1,0.07,16.42,1.04,2.34617965368,6.62
368,0.1,0.08,16.18,1.02,2.41208008658,6.38
369,0.1,0.09,16.12,1.26,2.34023520924,6.32
370,0.1,0.1,15.86,1.4,2.49010750361,6.26
371,0.1,0.11,15.74,1.24,2.45284126984,5.94
372,0.1,0.12,15.76,1.14,2.29787518038,6.66
373,0.1,0.13,15.36,1.1,2.20222311022,6.7
374,0.1,0.14,15.32,1.06,2.18078138528,6.4
375,0.1,0.15,15.2,1.14,2.16203246753,6.54
376,0.1,0.16,15.1,1.26,2.14077417027,6.6
377,0.1,0.17,15.18,0.9,2.36831024531,6.06
378,0.1,0.18,14.74,1.02,2.21132106782,6.12
379,0.1,0.19,14.96,1.1,2.16680663781,6.52
380,0.1,0.2,14.92,1.04,2.19735497835,6.3
