subj,node1,node2,uinvite_hierarchical,rw,fe,goni,chan,kenett
S100,gazelle,moose,0,1,0,0,0,0
S100,fish,pig,0,1,0,0,0,0
S100,hog,boar,1,1,0,1,0,0
S100,horse,bear,0,1,0,0,0,0
S100,canary,dormouse,1,1,0,0,0,0
S100,cat,armadillo,0,1,0,0,0,0
S100,elephant,koala,0,1,0,0,0,0
S100,cheetah,lion,0,1,1,1,1,0
S100,bulldog,beardeddragon,0,0,0,0,0,1
S100,dragonfly,goose,0,0,0,0,0,1
S100,dog,chicken,0,1,0,0,0,0
S100,chicken,toad,0,1,0,0,0,0
S100,sheep,swan,0,0,0,0,0,1
S100,bird,macaque,0,0,0,0,0,1
S100,ibis,goby,0,0,0,0,0,1
S100,nutria,deer,1,1,0,0,0,0
S100,gull,tiger,1,0,0,0,0,0
S100,parrot,ostrich,0,1,0,0,0,0
S100,treefrog,swallow,0,0,0,0,0,1
S100,mouse,raccoon,0,1,0,0,0,0
S100,tuna,bear,0,0,0,0,0,1
S100,mountainlion,leopard,0,1,0,1,1,0
S100,raptor,deer,0,0,0,0,0,1
S100,shark,jellyfish,0,1,0,1,0,0
S100,ibex,gorilla,1,1,0,0,0,0
S100,boaconstrictor,minnow,0,0,0,0,0,1
S100,whale,buffalo,0,0,0,0,0,1
S100,weasel,raptor,0,0,0,0,0,1
S100,elephant,chihuahua,1,1,0,0,1,0
S100,ibex,tick,0,0,0,0,0,1
S100,chicken,ram,0,0,0,0,0,1
S100,salmon,squid,0,1,0,1,0,0
S100,magpie,frog,1,1,0,0,0,0
S100,velociraptor,alligator,1,1,0,0,1,0
S100,monkey,slug,1,1,0,0,0,0
S100,monkey,koala,0,1,0,0,0,0
