subj,item1,item2,edge,
NA,dolphin,russianblue,0,
NA,dolphin,llama,1,
NA,dolphin,goose,0,
NA,dolphin,wolf,0,
NA,dolphin,leopard,0,
NA,dolphin,snake,0,
NA,dolphin,grizzlybear,0,
NA,dolphin,rooster,0,
NA,dolphin,peacock,0,
NA,dolphin,monkey,0,
NA,dolphin,hyena,0,
NA,dolphin,fox,0,
NA,dolphin,fish,0,
NA,dolphin,mouse,0,
NA,dolphin,lovebird,0,
NA,dolphin,persian,0,
NA,dolphin,whale,1,
NA,dolphin,rhinoceros,0,
NA,dolphin,elephant,0,
NA,dolphin,warthog,0,
NA,dolphin,humunukuapua,0,
NA,dolphin,guineapig,0,
NA,dolphin,robin,0,
NA,dolphin,germanshepherd,0,
NA,dolphin,grasshopper,0,
NA,dolphin,snail,0,
NA,dolphin,tortoise,0,
NA,dolphin,turkey,0,
NA,dolphin,jaguar,0,
NA,dolphin,duck,0,
NA,dolphin,zebra,0,
NA,russianblue,sunconure,0,
NA,russianblue,sparrow,0,
NA,russianblue,slug,0,
NA,russianblue,swan,0,
NA,russianblue,terrier,0,
NA,russianblue,shark,0,
NA,russianblue,wolf,0,
NA,russianblue,snake,0,
NA,russianblue,whale,0,
NA,russianblue,warthog,0,
NA,russianblue,snail,0,
NA,russianblue,tortoise,0,
NA,russianblue,turkey,0,
NA,russianblue,zebra,0,
NA,llama,parrot,0,
NA,llama,poodle,0,
NA,llama,sunconure,0,
NA,llama,pigeon,0,
NA,llama,pig,0,
NA,llama,sparrow,0,
NA,llama,pufferfish,0,
NA,llama,slug,0,
NA,llama,pheasant,0,
NA,llama,quail,0,
NA,llama,polarbear,0,
NA,llama,swan,0,
NA,llama,terrier,0,
NA,llama,shark,0,
NA,llama,russianblue,0,
NA,llama,wolf,0,
NA,llama,snake,0,
NA,llama,rooster,0,
NA,llama,peacock,0,
NA,llama,monkey,0,
NA,llama,mouse,0,
NA,llama,lovebird,0,
NA,llama,persian,0,
NA,llama,whale,0,
NA,llama,rhinoceros,0,
NA,llama,warthog,0,
NA,llama,robin,0,
NA,llama,snail,0,
NA,llama,tortoise,0,
NA,llama,turkey,0,
NA,llama,zebra,0,
NA,goose,hare,0,
NA,goose,lion,0,
NA,goose,parrot,0,
NA,goose,poodle,0,
NA,goose,hippopotamus,0,
NA,goose,sunconure,0,
NA,goose,pigeon,0,
NA,goose,pig,0,
NA,goose,sparrow,0,
NA,goose,pufferfish,0,
NA,goose,slug,0,
NA,goose,pheasant,0,
NA,goose,quail,0,
NA,goose,polarbear,0,
NA,goose,swan,1,
NA,goose,terrier,0,
NA,goose,shark,0,
NA,goose,horse,0,
NA,goose,russianblue,0,
NA,goose,llama,0,
NA,goose,wolf,0,
