max_converge,theta,numgraphs,edgestotweak,numkeep,jeff,numperseed,beta,numnodes,numlinks,probRewire,numedges,graph_seed,numx,trim,x_seed,cost_orig,cost_irts,cost_noirts,time_irts,time_noirts,bestgraph_irts,bestgraph_noirts,alter_graph,hit_irt,miss_irt,fa_irt,cr_irt,hit_noirt,miss_noirt,fa_noirt,cr_noirt,hit_orig,miss_orig,fa_orig,cr_orig,bestval_irts,bestval_noirt,bestval_orig
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,44,5,0.7,44,16,17,11,0:08:14.464844,0:00:54.275469,2bppfxplwbr2j6nn02hdzjzvspzh1lhvjbgmk4qvpypy,281qj5zh1ynx1ig67kn4uia4478sbvzgjrxdjqt71g5g,0,24,6,11,64,22,8,3,72,25,5,11,64,-48.583964715,-61.2609156189,-66.0272970986
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,45,5,0.7,45,21,15,17,0:06:53.809077,0:00:50.516255,20zh6yxfwmz9e361bw91o1cfp9k96xyoag9vqhqxyt4y,eqkqvohuho59ibbhgrcxkhvwwdvvpd5wq34rinvr8xy,0,21,9,6,69,18,12,5,70,20,10,11,64,-43.2904236909,-50.5057316537,-56.934431758
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,46,5,0.7,46,29,25,25,0:09:19.000047,0:00:54.934117,mifgw9fea70dokf8xdhwxyyqfmfvgfb45pmw8pffius,7yjfcipff1yh52u0t5834zyoe9ndmp69uuurk8biwpe,0,20,10,15,60,17,13,12,63,19,11,18,57,-48.6568633528,-65.2196853058,-67.2231692543
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,47,5,0.7,47,18,17,16,0:04:56.074484,0:00:47.447936,gdnuo97enoc4ddrz0oxpfjojlz6zieg0w3x4oim1yxs,gdntdmvnm188crxnrlzvgu9i6fxar1282hgsbjqwgzk,0,21,9,8,67,19,11,5,70,22,8,10,65,-47.4999659843,-58.1583885685,-60.8538583765
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,48,5,0.7,48,24,23,23,0:06:23.768382,0:00:55.788211,2hh6lnkaipxmf11banpvf95com93xjvmra00effopde4,18wnpedd7ugm65l0ni3vubfsm7exxiwymkp26ptv9u6c,0,21,9,14,61,18,12,11,64,22,8,16,59,-50.2906745426,-66.8630626649,-68.7477883457
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,49,5,0.7,49,25,15,19,0:09:33.629085,0:01:03.661770,k2wep3vhbv6cldec5qdjqz7thsyztj170zkuh68x9ts,j440tqjv8emh8vgge0mr97siscrkv4kfh2jz0k1b56o,0,22,8,7,68,20,10,9,66,20,10,15,60,-51.8388092645,-60.4014012133,-62.4893458711
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,50,5,0.7,50,24,16,17,0:06:24.342512,0:00:58.617482,2fg9f28celfwjbyw8ltumdl6iuo9nffrwoj4ujfzsxl2,2fg9f2ykfxoyv3rfn281fsz3f2fdickdjjakrxqsku86,0,21,9,7,68,21,9,8,67,21,9,15,60,-52.5675367751,-64.2468925661,-68.0958566817
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,51,5,0.7,51,21,16,18,0:05:41.259408,0:00:50.634002,7bq7278nw4kmbo2c6v7lt9rhj66vfi3f24xyra4twdc,1sgzo6qogx4seumzm0unqe1mdftnjryqua1t4m9qg0,0,21,9,7,68,20,10,8,67,22,8,13,62,-43.8908725235,-58.6959653525,-62.3255299893
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,52,5,0.7,52,25,21,21,0:07:17.019863,0:00:38.514171,1m7wu49b1ezpfs78flqkfnvljxaefu6z0qb5a35vxp24,1o1e71u87st5bvq6761boyaz49jh5yh85l1ljrqlwetw,0,19,11,10,65,16,14,7,68,18,12,13,62,-48.1457432016,-55.0130283645,-59.8049034341
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,53,5,0.7,53,7,10,7,0:04:03.818362,0:00:31.019677,2fcx4nfux4trwrnfkcwhgydgc8srahy8ybc0pgy4esjk,2fcx4nf90we8fq3nwa5tx7nibsptaoob17681ik5jb40,0,24,6,4,71,24,6,1,74,26,4,3,72,-46.5685940257,-55.6872654558,-57.3701698982
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,54,5,0.7,54,15,10,11,0:04:54.628900,0:01:08.705042,2q8sfjkskf65n3oht0e5chahc88k5elz5ldpiw4nfi3y,10e760mm5qg36eabrc35t0msijss939nqg84maitarty,0,24,6,4,71,21,9,2,73,25,5,10,65,-47.4361018009,-56.9720173811,-62.6115799162
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,55,5,0.7,55,23,16,20,0:07:56.208085,0:00:41.064127,2u367yrp5rqaq1sh6bnz2h6let6bpddxrgznm8i5mr5u,t6k73yjt2sxrsx14g3by6tiupqxgw94ctj4y3fqzh8i,0,20,10,6,69,19,11,9,66,21,9,14,61,-54.3355871111,-62.2732045787,-64.6537399096
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,56,5,0.7,56,11,10,13,0:04:59.362553,0:00:49.956840,1m7xdsae75y1gyp3jv56er8bq115a2l64os574xd73t0,1m7w8cdh2u4snpb237smgguyo05e30zkl7c9cvywltdw,0,25,5,5,70,21,9,4,71,25,5,6,69,-50.2346829701,-54.0414345121,-57.347617647
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,57,5,0.7,57,20,20,19,0:05:56.440053,0:00:58.201709,1jv3w2jrdc12lioiu045h3d2sm4ni2l23v5jeo3142,igbzx1wqr5he5kgmhht9nwoh1vctwpu4uiseriwiq,0,20,10,10,65,16,14,5,70,21,9,11,64,-44.9642785977,-52.6199752179,-59.5548073709
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,58,5,0.7,58,20,17,16,0:07:01.152299,0:01:00.644984,17shee9bp4vyrncv5prfo7dp6rbi7pwp5kcw4yuh6td6,t8crpna4r22zmkb388t859fvu6xefln38qz5mpxfrwq,0,23,7,10,65,20,10,6,69,23,7,13,62,-49.8780389645,-59.4729104967,-62.1937853897
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,59,5,0.7,59,13,11,14,0:06:00.567292,0:00:54.908537,1m8xlhq8pj56hacrbkl1mpsfwr4d7ml5yfop5nipp5qe,1m8no2r5nscl2fxe8e36hhtepnhm9r2dshit06qt7eiu,0,25,5,6,69,20,10,4,71,23,7,6,69,-51.3432954138,-52.8153572999,-55.4489290659
5,0.5,100,[1 1 1 2 3 4 5 6 7 8 9 10],3,0.5,50,1,15,4,0.4,30,60,5,0.7,60,21,20,20,0:07:57.630670,0:00:39.020696,tkdipd671sd88mbtqjlyadhf2au2l4qw9qm84yhiarm,tkdnvu9vt8ixfohhkmxfao7fx6x2foxl4js7dlwlxc2,0,20,10,10,65,20,10,10,65,21,9,12,63,-45.2776950812,-62.2382691859,-62.8614652666
