subj,node1,node2,uinvite,rw,windowvalid,uinvite_prior
S101,ferret,polarbear,1,1,0,0
S101,fish,hamster,1,1,0,0
S101,fish,ostrich,1,1,0,0
S101,fly,whale,1,1,0,0
S101,frog,fly,1,1,0,0
S101,giraffe,buffalo,1,1,0,0
S101,giraffe,capybara,1,1,0,0
S101,giraffe,deer,1,1,0,0
S101,giraffe,hippopotamus,1,1,0,0
S101,giraffe,horse,1,1,0,0
S101,giraffe,hyena,1,1,0,0
S101,giraffe,pigeon,1,1,0,0
S101,giraffe,polarbear,1,1,0,0
S101,giraffe,robin,1,1,0,0
S101,giraffe,tiger,1,1,0,0
S101,giraffe,wolf,1,1,0,0
S101,goat,giraffe,1,1,0,0
S101,hippopotamus,lion,1,1,0,0
S101,hippopotamus,mouse,1,1,0,0
S101,hippopotamus,ostrich,1,1,0,0
S101,horse,buffalo,1,1,0,0
S101,horse,dog,1,1,0,0
S101,horse,leopard,1,1,0,0
S101,jaguar,panther,1,1,0,0
S101,kangaroo,bull,1,1,0,0
S101,koala,polarbear,1,1,0,0
S101,lamb,goat,1,1,0,0
S101,lamb,sheep,1,1,0,0
S101,lemur,flamingo,1,1,0,0
S101,lion,camel,1,1,0,0
S101,llama,donkey,1,1,0,0
S101,llama,pig,1,1,0,0
S101,monkey,gopher,1,1,0,0
S101,opossum,bear,1,1,0,0
S101,ostrich,turkey,1,1,0,0
S101,parrot,parakeet,1,1,0,0
S101,pigeon,bat,1,1,0,0
S101,polarbear,panther,1,1,0,0
S101,polarbear,tiger,1,1,0,0
S101,porpoise,horse,1,1,0,0
S101,rabbit,possum,1,1,0,0
S101,sealion,lion,1,1,0,0
S101,shark,octopus,1,1,0,0
S101,sparrow,robin,1,1,0,0
S101,squirrel,gerbil,1,1,0,0
S101,swan,horse,1,1,0,0
S101,tuna,whale,1,1,0,0
S101,turtle,bluebird,1,1,0,0
S101,weasel,mouse,1,1,0,0
S101,weasel,robin,1,1,0,0
S101,worm,beetle,1,1,0,0
S101,worm,fish,1,1,0,0
S101,zebra,robin,1,1,0,0
S101,alligator,bat,1,1,0,1
S101,alligator,fox,1,1,0,1
S101,alligator,moth,1,1,0,1
S101,alligator,penguin,1,1,0,1
S101,alligator,rabbit,1,1,0,1
S101,alligator,tiger,1,1,0,1
S101,alligator,walrus,1,1,0,1
S101,anteater,eagle,1,1,0,1
S101,anteater,trout,1,1,0,1
S101,ape,owl,1,1,0,1
S101,ape,turtle,1,1,0,1
S101,badger,donkey,1,1,0,1
S101,badger,turtle,1,1,0,1
S101,bat,mouse,1,1,0,1
S101,bat,whale,1,1,0,1
S101,bear,human,1,1,0,1
S101,bison,pig,1,1,0,1
S101,cat,mouse,1,1,0,1
S101,cat,seal,1,1,0,1
S101,catfish,whale,1,1,0,1
S101,chameleon,fox,1,1,0,1
S101,chameleon,rabbit,1,1,0,1
S101,chameleon,snake,1,1,0,1
S101,cheetah,bear,1,1,0,1
