subj,node1,node2,s2017_uinvite_hierarchical_bb_a1_b1,s2017_rw,s2017_fe,s2017_goni,s2017_chan,s2017_kenett,s2017_uinvite_flat,s2017_uinvite_hierarchical_zibb_a2_b1_p5
S100,koi,toucan,0,0,0,0,0,1,0,0
S100,skunk,fox,0,1,0,0,0,0,1,0
S100,antelope,aardvark,0,1,1,0,0,0,1,0
S100,narwhal,walrus,1,1,0,1,0,0,1,1
S100,canary,eagle,0,1,0,1,0,0,1,0
S100,dragon,bug,0,0,0,0,0,1,0,0
S100,spider,bug,1,1,0,0,1,0,1,1
S100,seacucumber,alligator,1,1,0,0,1,0,1,1
S100,tuna,cow,0,1,0,0,0,0,1,0
S100,possum,cat,0,1,0,0,0,0,1,0
S100,poodle,alligator,0,0,0,0,0,1,0,0
S100,tasmaniandevil,wolf,1,1,0,0,0,0,1,1
S100,tapir,porcupine,1,1,0,0,0,0,1,1
S100,panda,mosquito,0,1,0,0,0,0,1,0
S100,possum,bat,0,1,0,0,0,0,1,1
S100,wolverine,rabbit,0,1,0,0,0,0,1,0
S100,raven,lark,1,1,0,0,1,0,1,1
S100,butterfly,kangaroo,0,1,0,0,0,0,1,0
S100,chipmunk,beaver,0,1,0,1,0,0,1,0
S100,seagull,armadillo,0,0,0,0,0,1,0,0
S100,swordfish,pig,0,1,0,0,0,0,1,0
S100,blackbear,beaver,0,0,0,0,0,1,0,0
S100,grasshopper,toad,0,1,0,0,0,0,1,1
S100,bull,orangutan,0,0,0,0,0,1,0,0
S100,shark,sealion,0,1,0,1,0,0,1,0
S100,anaconda,cobra,1,0,0,0,0,1,0,1
S100,seagull,moose,0,1,0,0,0,0,1,1
S100,honeybadger,octopus,0,0,0,0,0,1,0,0
S100,brownbear,horse,1,1,1,0,0,0,1,1
S100,aardvark,whale,0,1,1,0,0,0,1,0
S100,goat,frog,0,1,0,0,0,0,0,0
S100,turtle,gecko,0,1,0,0,0,0,1,0
S100,canary,seal,0,0,0,0,0,1,0,0
S100,goose,lion,0,1,0,0,0,0,1,0
