filename,cutoff,hit,fa,cost
dynamic_b03,0.35,137,36,292
dynamic_b03,0.4,133,36,296
dynamic_b03,0.45,107,32,318
dynamic_b03,0.5,102,32,323
dynamic_b03,0.55,66,1,328
dynamic_b03,0.6,61,1,333
dynamic_b03,0.65,49,1,345
dynamic_b03,0.7,38,0,355
dynamic_b03,0.75,37,0,356
dynamic_b03,0.8,27,0,366
dynamic_b03,0.85,9,0,384
dynamic_b03,0.9,1,0,392
dynamic_b03,0.95,0,0,393
dynamic_b03,1.0,0,0,393
dynamic_newmixture,0.0,385,10485,10493
dynamic_newmixture,0.05,385,10485,10493
dynamic_newmixture,0.1,381,10458,10470
dynamic_newmixture,0.15,350,8620,8663
dynamic_newmixture,0.2,334,7142,7201
dynamic_newmixture,0.25,301,4827,4919
dynamic_newmixture,0.3,249,2373,2517
dynamic_newmixture,0.35,209,124,308
dynamic_newmixture,0.4,198,123,318
dynamic_newmixture,0.45,151,69,311
dynamic_newmixture,0.5,151,69,311
dynamic_newmixture,0.55,111,34,316
dynamic_newmixture,0.6,99,34,328
dynamic_newmixture,0.65,84,32,341
dynamic_newmixture,0.7,65,9,337
dynamic_newmixture,0.75,63,9,339
dynamic_newmixture,0.8,47,1,347
dynamic_newmixture,0.85,21,0,372
dynamic_newmixture,0.9,2,0,391
dynamic_newmixture,0.95,0,0,393
dynamic_newmixture,1.0,0,0,393
dynamicmixture,0.0,385,10485,10493
dynamicmixture,0.05,385,10485,10493
dynamicmixture,0.1,385,10485,10493
dynamicmixture,0.15,361,9588,9620
dynamicmixture,0.2,336,7142,7199
dynamicmixture,0.25,300,4826,4919
dynamicmixture,0.3,271,2405,2527
dynamicmixture,0.35,211,123,305
dynamicmixture,0.4,200,122,315
dynamicmixture,0.45,156,68,305
dynamicmixture,0.5,152,68,309
dynamicmixture,0.55,113,35,315
dynamicmixture,0.6,103,35,325
dynamicmixture,0.65,90,33,336
dynamicmixture,0.7,70,11,334
dynamicmixture,0.75,68,11,336
