subj,item1,item2,bb5,bb6,bb7,bb8,bb9,zibb5,zibb6,zibb7,zibb8,zibb9
S100,clam,fish,1,1,0,0,0,1,1,0,0,0
S100,blackbear,lion,0,0,0,0,0,1,0,0,0,0
S100,sparrow,marlin,0,0,0,0,0,1,0,0,0,0
S100,blackbear,grizzlybear,1,1,0,0,0,1,1,0,0,0
S100,octopus,cuttlefish,0,0,0,0,0,1,0,0,0,0
S100,pheasant,flamingo,0,0,0,0,0,1,0,0,0,0
S100,zebra,cuttlefish,0,0,0,0,0,1,0,0,0,0
S100,bass,mouse,1,1,0,0,0,1,1,0,0,0
S100,pelican,meerkat,0,0,0,0,0,1,0,0,0,0
S100,crow,pigeon,1,0,0,0,0,1,1,1,0,0
S100,stinkbug,ladybug,1,1,0,0,0,1,1,0,0,0
S100,bonobo,octopus,0,0,0,0,0,1,0,0,0,0
S100,giraffe,ray,0,0,0,0,0,1,0,0,0,0
S100,goose,swan,1,1,1,0,0,1,1,1,1,0
S100,woodpecker,mockingbird,1,1,0,0,0,1,1,0,0,0
S100,mountainlion,puma,0,0,0,0,0,1,0,0,0,0
S100,horse,cow,0,0,0,0,0,1,1,1,1,1
S100,sealion,penguin,1,1,1,1,0,1,1,1,1,0
S100,monkey,baldeagle,1,1,0,0,0,1,1,0,0,0
S100,chameleon,lizard,1,1,1,0,0,1,1,1,0,0
S100,porcupine,beaver,0,0,0,0,0,1,1,1,0,0
S100,goose,turkey,1,1,1,0,0,1,1,1,0,0
S100,komododragon,goat,1,1,0,0,0,1,1,0,0,0
S100,cougar,lynx,0,0,0,0,0,1,0,0,0,0
S100,narwhal,otter,0,0,0,0,0,1,0,0,0,0
