subj,node1,node2,rw,fe,goni,chan,kenett
S100,bird,polarbear,1,0,0,0,0
S100,komododragon,zebra,1,0,0,0,0
S100,rooster,elk,1,0,0,0,0
S100,badger,rooster,1,0,0,0,0
S100,tapir,gecko,0,0,0,0,1
S100,raven,assassinbug,0,0,0,0,1
S100,horse,fox,1,0,0,0,0
S100,flamingo,chinchilla,0,0,0,0,1
S100,dolphin,mantaray,1,0,0,0,0
S100,redfox,clownfish,0,0,0,0,1
S100,blackbear,blowfish,0,0,0,0,1
S100,clam,fish,1,0,0,0,0
S100,snake,robin,1,0,0,0,0
S100,carp,mussel,1,0,0,0,0
S100,crocodile,otter,1,0,0,0,0
S100,canary,blowfish,0,0,0,0,1
S100,fawn,mink,1,0,0,0,0
S100,parrot,seagull,1,0,0,0,0
S100,crow,pigeon,1,0,1,1,0
S100,hippopotamus,sloth,1,0,0,0,0
S100,giraffe,ray,1,0,0,0,0
S100,goose,swan,1,0,1,1,0
S100,fish,crab,1,0,0,0,0
S100,sloth,rabbit,1,0,0,0,1
S100,mountainlion,puma,1,0,0,0,1
S100,oyster,puma,0,0,0,0,1
S100,cockroach,finch,0,0,0,0,1
S100,sealion,penguin,1,0,1,0,0
S100,grizzlybear,bat,1,0,0,0,0
S100,parrot,orca,0,0,0,0,1
S100,spider,squirrel,1,0,0,0,0
S100,honeybadger,macaque,0,0,0,0,1
S100,lion,wolf,1,0,0,1,0
S100,stinkbug,swordfish,0,0,0,0,1
S100,warthog,gorilla,0,0,0,0,1
S100,komododragon,goat,1,1,0,0,0
S100,viper,hammerheadshark,0,0,0,0,1
S100,rat,ferret,1,0,1,0,0
S100,dolphin,possum,0,0,0,0,1
S100,kinkajou,chimpanzee,1,0,1,1,0
S100,goose,pigeon,1,0,1,0,0
S100,cassowary,jaguar,0,0,0,0,1
S100,duckling,camel,0,0,0,0,1
S100,labradorretriever,goldenretriever,1,0,0,1,0
S100,ferret,flamingo,1,0,0,0,0
S100,rhinoceros,penguin,1,0,0,0,0
S100,anaconda,caribou,0,0,0,0,1
S100,snake,cricket,1,0,0,0,0
S100,dog,cat,1,1,1,1,0
S100,sugarglider,wasp,0,0,0,0,1
S100,salamander,starfish,0,0,0,0,1
S100,cat,jackal,1,0,0,0,0
S100,coyote,turkey,1,0,0,0,0
S100,jellyfish,spider,1,0,0,0,0
S100,lizard,eel,1,0,0,0,0
S100,bird,lobster,0,0,0,0,1
S100,bobcat,cat,1,0,0,0,0
S100,hippopotamus,sealion,1,0,0,0,0
S100,goat,wallaby,1,0,0,0,0
S100,gopher,walrus,0,0,0,0,1
S100,ibis,caterpillar,0,0,0,0,1
S100,chameleon,spider,0,0,0,0,1
S100,octopus,penguin,1,0,0,0,0
S100,iguana,camel,1,0,0,0,0
S100,minnow,rattlesnake,0,0,0,0,1
S100,bull,bruin,1,0,0,1,0
S100,minnow,opossum,0,0,0,0,1
S100,lizard,bug,1,0,0,1,0
S100,kitten,lizard,1,0,0,1,0
S100,bull,wolf,1,0,0,0,0
S100,ox,buffalo,1,0,1,1,0
S100,llama,snake,1,0,0,0,0
S100,dragon,lizard,1,0,0,0,0
S100,donkey,moose,1,0,0,0,0
S100,jellyfish,clownfish,1,0,0,0,0
S100,rhinoceros,bear,1,0,0,0,0
S100,mule,frog,1,0,0,0,0
S100,prairiedog,kangaroo,1,0,0,0,0
S100,eagle,chipmunk,1,0,0,0,0
S100,sheep,owl,1,1,0,0,0
S100,starfish,fish,1,0,1,1,0
S100,lamb,chicken,1,0,0,0,0
S100,manx,gopher,0,0,0,0,1
S100,giraffe,hyena,1,0,1,0,0
S100,cheetah,dodo,1,0,0,0,0
S100,warthog,conure,0,0,0,0,1
S100,bear,kangaroo,1,0,0,0,0
S100,dolphin,cardinal,1,0,0,0,0
S100,brownbear,whale,0,0,0,0,1
S100,mantis,adder,0,0,0,0,1
S100,crocodile,bluewhale,1,0,0,0,0
S100,canary,chipmunk,1,0,1,1,0
S100,panther,falcon,1,0,0,0,0
S100,dolphin,swordfish,0,0,0,0,1
S100,dingo,tiger,1,0,0,0,0
S100,iguana,kangaroo,1,0,0,0,0
S100,cat,fox,1,0,0,0,0
S100,ram,camel,0,0,0,0,1
S100,eagle,falcon,1,0,1,1,0
S100,hawk,bear,1,0,0,0,0
S100,crocodile,lion,1,0,0,0,0
S100,bear,alpaca,1,1,0,0,0
S100,emu,moose,1,0,0,0,0
S100,ant,ladybug,1,0,1,0,0
S100,goat,elk,1,0,0,0,0
S100,shark,koala,1,0,0,0,0
S100,goose,rooster,1,0,0,0,0
S100,horse,bat,1,0,0,0,0
S100,turtle,alligator,1,0,0,0,0
S100,koala,fish,1,0,0,0,0
S100,bird,tiger,1,0,0,0,0
S100,dormouse,eel,1,0,0,0,0
S100,ostrich,hamster,1,0,0,0,0
S100,bee,donkey,1,0,0,0,0
S100,sparrow,owl,1,0,1,0,0
S100,chameleon,worm,0,0,0,0,1
S100,nakedmolerat,bluebird,0,0,0,0,1
S100,scottishshetland,tapir,0,0,0,0,1
S100,antelope,rabbit,1,0,0,0,0
S100,narwhal,orca,1,0,1,1,0
S100,sealion,starfish,1,0,0,0,0
S100,seal,owl,1,0,0,0,0
S100,bear,penguin,1,0,0,0,0
S100,anteater,koala,1,0,0,0,0
S100,cat,rabbit,1,0,0,0,0
S100,elephant,monkey,1,0,0,0,0
S100,hippopotamus,gazelle,1,0,0,0,0
S100,goat,giraffe,1,0,0,0,0
S100,canary,parrot,1,0,1,0,0
S100,anaconda,adder,1,0,0,0,0
S100,sheep,orca,0,0,0,0,1
S100,elephant,parrot,1,0,0,0,0
S100,liger,mockingbird,0,0,0,0,1
S100,beaver,rabbit,1,0,0,0,0
S100,iguana,hippopotamus,1,0,0,0,0
S100,goat,goose,1,0,0,0,0
S100,cockroach,scorpion,1,0,1,1,0
S100,seahorse,viper,0,0,0,0,1
S100,snake,cat,1,0,0,0,0
S100,fly,crane,1,0,0,1,0
S100,canary,monkey,1,0,0,0,0
S100,bee,nightingale,1,0,0,1,0
S100,porcupine,beaver,1,0,0,0,0
S100,swan,penguin,1,0,0,0,1
S100,xerus,pteordactyl,0,0,0,0,1
S100,orangutan,gorilla,1,0,1,1,0
S100,llama,baldeagle,0,0,0,0,1
S100,bird,owl,1,0,0,0,0
S100,hare,weasel,1,0,0,0,0
S100,dog,sparrow,1,0,0,0,0
S100,kingcobra,germanshepherd,0,0,0,0,1
S100,raccoon,owl,1,0,0,0,0
S100,minnow,wallaby,0,0,0,0,1
S100,groundhog,raccoon,1,0,0,0,0
S100,squirrel,pika,0,0,0,0,1
S100,sparrow,pig,1,0,0,0,0
S100,tiger,fox,1,1,0,0,0
S100,fly,cockroach,1,0,0,0,0
S100,pigeon,deer,1,0,0,0,0
S100,earthworm,piranha,0,0,0,0,1
S100,raptor,robin,1,0,0,1,0
S100,peacock,crocodile,0,0,0,0,1
S100,dinosaur,lark,0,0,0,0,1
S100,turtle,lemur,1,0,0,0,0
S100,treefrog,eagle,0,0,1,0,0
S100,komododragon,gecko,1,0,0,0,0
S100,orangutan,buffalo,1,0,0,0,0
S100,quahog,platypus,1,0,0,1,0
S100,groundhog,mongoose,1,0,0,0,0
S100,giraffe,snake,1,0,0,0,0
S100,shark,mantaray,1,0,0,0,0
S100,beaver,mole,1,0,1,0,0
S100,goose,tiger,1,1,0,0,0
S100,skunk,bear,1,0,0,0,0
S100,shark,marmoset,0,0,0,0,1
S100,quahog,blowfish,0,0,0,0,1
S100,giraffe,graywolf,1,0,0,1,0
S100,zebra,polarbear,1,0,0,0,0
S100,salamander,turtle,1,0,1,0,0
S100,zebra,yak,1,0,0,0,0
S100,jellyfish,stingray,1,0,0,0,0
S100,boaconstrictor,gorilla,0,0,0,0,1
S100,liger,lion,0,0,0,0,1
S100,zebra,lion,1,1,1,0,0
S100,gazelle,moose,1,0,0,0,0
S100,fish,pig,1,0,0,0,0
S100,hog,boar,1,0,1,0,0
S100,horse,bear,1,0,0,0,0
S100,canary,dormouse,1,0,0,0,0
S100,cat,armadillo,1,0,0,0,0
