subj,node1,node2,u-invite,rw
S11,terrier,siamesecagt,1,1
S11,aliigator,croc,1,1
S11,tarantula,wolfspider,1,1
S11,tibetanterrier,cockerspaniel,1,1
S11,clam,lobster,1,1
S11,tarantula,spider,1,1
S11,bloodhound,husky,1,1
S11,sparrow,cardcinal,1,1
S11,palmeranian,husky,1,1
S11,goldenretreiver,yorkie,1,1
S11,bat,mosquito,1,1
S11,siberiantiger,snowleopard,1,1
S11,gibbon,gorilla,1,1
S11,siberiantiger,minniow,1,1
S11,shark,bottlenoseddolphin,1,1
S11,beagle,goldendoodle,1,1
S11,cobra,mtn.lion,1,1
S11,sjark,greatwhiteshark,1,1
S11,crocodile,alligator,1,1
S11,human,daddylongloeg,1,1
S11,eagle,owl,1,1
S11,shark,beagle,1,1
S11,giraffe,zebra,1,1
S11,jellyfish,starfish,1,1
S11,baldeagle,hawk,1,1
S11,greatwhiteshark,hammerheadshark,1,1
S11,tabbycat,siamesecagt,1,1
S11,polarbear,blackbear,1,1
S11,stallion,mustang,1,1
S11,orca,whale,1,1
S11,catfish,oyster,1,1
S11,rhino,gorilla,1,1
S11,aardvark,mouse,1,1
S11,croc,reptile,1,1
S11,greatape,ape,1,1
S11,cardcinal,finch,1,1
S11,frog,toad,1,1
S11,trout,salmon,1,1
S11,corgi,pug,1,1
S11,minnoq,mustang,1,1
S11,ladybug,ant,1,1
S11,tuna,tigershark,1,1
S11,cheetah,lion,1,1
S11,salmo,trout,1,1
S11,poodle,labradoodle,1,1
S11,bird,horse,1,1
S11,squirrel,beacer,1,1
S11,bat,fox,1,1
S11,siberiantiger,mountainlion,1,1
S11,cat,mountainlion,1,1
S11,crab,crustacean,1,1
S11,human,monkey,1,1
S11,parrat,toucan,1,1
S11,owl,elfowl,1,1
S11,clam,halibut,1,1
S11,cobra,snake,1,1
S11,mouse,terrier,1,1
S11,zebra,horse,1,1
S11,shark,sealion,1,1
S11,bluewhale,bottlenoseddolphin,1,1
S11,polarbear,brownbear,1,1
S11,cougar,panther,1,1
S11,mayfly,mosquito,1,1
S11,moth,butterfly,1,1
S11,mantaray,stingray,1,1
S11,cat,mouse,1,1
S11,polarbear,anteater,1,1
S11,goldfish,clownfish,1,1
S11,sjark,salamander,1,1
S11,rabbit,cat,1,1
S11,cheetah,rhino,1,1
S11,goldfish,fish,1,1
S11,barnowl,greathornedowl,1,1
S11,chimpanzee,bonobo,1,1
S11,bluewhale,whaleshark,1,1
S11,mustang,red-tailed,1,1
S11,sparrow,barnowl,1,1
S11,wolf,siamesecat,1,1
S11,siberiantiger,husky,1,1
S11,jellyfish,trout,1,1
S11,hawk,red-tailed,1,1
S11,sparrow,seagull,1,1
S11,puddle,yorkie,1,1
