subj,node1,node2,u-invite,rw
S99,crocodile,alligator,1,1
S99,eagle,flamingo,1,1
S99,grasshopper,bat,1,1
S99,eagle,ostrich,1,1
S99,pigeon,squirrel,1,1
S99,bug,ladybug,1,1
S99,human,gorilla,1,1
S99,donkey,pig,1,1
S99,giraffe,zebra,1,1
S99,swallow,rooster,1,1
S99,lamb,sheep,1,1
S99,squirrel,tortoise,1,1
S99,elephant,lemur,1,1
S99,tiger,panther,1,1
S99,sealion,shark,1,1
S99,shark,clownfish,1,1
S99,swan,flamingo,1,1
S99,guineapig,bird,1,1
S99,tuna,gerbil,1,1
S99,dog,ferret,1,1
S99,dove,cow,1,1
S99,goldfish,mouse,1,1
S99,orca,whale,1,1
S99,llama,alpaca,1,1
S99,tiger,warthog,1,1
S99,warthog,mouse,1,1
S99,sheep,bull,1,1
S99,fruitfly,bunny,1,1
S99,spider,pig,1,1
S99,turkey,tortoise,1,1
S99,lobster,shrimp,1,1
S99,pelican,parakeet,1,1
S99,lemur,fox,1,1
S99,cheetah,squirrel,1,1
S99,seal,duck,1,1
S99,cheetah,dog,1,1
S99,panda,chiwawa,1,1
S99,bison,barnacle,1,1
S99,bunny,rodent,1,1
S99,whale,manatee,1,1
S99,butterfly,cat,1,1
S99,rabbit,shrimp,1,1
S99,leopard,panther,1,1
S99,giraffe,tortoise,1,1
S99,albatross,flamingo,1,1
S99,donkey,cat,1,1
S99,manatee,walrus,1,1
S99,hyena,tiger,1,1
S99,spider,bee,1,1
S99,zebra,horse,1,1
S99,lamb,jaguar,1,1
S99,ostrich,hyena,1,1
S99,swan,parrot,1,1
S99,sloth,polarbear,1,1
S99,shrimp,crab,1,1
S99,rottweiler,corgi,1,1
S99,orangutan,human,1,1
S99,mouse,ox,1,1
S99,giraffe,dog,1,1
S99,hamster,mole,1,1
S99,sunfish,tuna,1,1
S99,lion,penguin,1,1
S99,horse,mule,1,1
S99,goat,alpaca,1,1
S99,bird,squirrel,1,1
S99,bear,grizzlybearbear,1,1
S99,zebra,housecat,1,1
S99,greathornedowl,owl,1,1
S99,bat,owl,1,1
S99,butterfly,fox,1,1
S99,horsefly,fly,1,1
S99,eagle,owl,1,1
S99,wildebeest,mountainlion,1,1
S99,hamster,lemming,1,1
S99,dolphin,squid,1,1
S99,lion,husky,1,1
S99,squid,mouse,1,1
S99,bat,aardvark,1,1
S99,swallow,hummingbird,1,1
S99,elephant,fox,1,1
S99,crocodile,frog,1,1
S99,sealion,lobster,1,1
S99,jellyfish,hammerheadshark,1,1
S99,wildebeest,hippopotamus,1,1
S99,cat,alpaca,1,1
S99,tibetanterrier,dog,1,1
S99,parrot,eagle,1,1
S99,moth,pig,1,1
S99,wolf,yorkie,1,1
S99,goldeneagle,baldeagle,1,1
S99,orangutan,gorilla,1,1
S99,hippopotamus,whale,1,1
S99,blackbear,polarbear,1,1
S99,zebra,tiger,1,1
S99,cat,frog,1,1
S99,sparrow,toucan,1,1
S99,whaleshark,whale,1,1
S99,cardinal,finch,1,1
S99,mammoth,sabertoothedtiger,1,1
S99,seaurchin,seacucumber,1,1
S99,jaguar,lion,1,1
S99,orca,greatwhiteshark,1,1
S99,duck,frog,1,1
S99,dolphin,ferret,1,1
S99,gnat,moth,1,1
S99,cheetah,crocodile,1,1
S99,zebra,pufferfish,1,1
S99,seasponge,coral,1,1
S99,cheetah,giraffe,1,1
S99,hippopotamus,hyena,1,1
S99,rhinoceros,elephant,1,1
S99,flamingo,parakeet,1,1
S99,dolphin,seal,1,1
S99,yorkie,husky,1,1
S99,beluga,whale,1,1
S99,pidgeon,eagle,1,1
S99,monkey,meerkat,1,1
S99,iguana,bear,1,1
S99,dog,rooster,1,1
S99,gibbon,blackbear,1,1
S99,cardinal,sparrow,1,1
S99,ferret,cow,1,1
S99,parrot,deer,1,1
S99,poodle,goldenretriever,1,1
S99,fish,ape,1,1
S99,spermwhale,humpbackwhale,1,1
S99,python,snake,1,1
S99,dodobird,fox,1,1
S99,wasp,ant,1,1
S99,whale,greatwhiteshark,1,1
S99,hawk,goldeneagle,1,1
S99,monkey,human,1,1
S99,ox,penguin,1,1
S99,platypus,duck,1,1
S99,kangaroo,pig,1,1
S99,flamingo,fox,1,1
S99,bear,tiger,1,1
S99,monkey,marmoset,1,1
S99,bear,jaguar,1,1
S99,sharpei,deer,1,1
S99,otter,penguin,1,1
S99,horse,boar,1,1
S99,greathornedowl,barnowl,1,1
S99,mouse,gerbil,1,1
S99,anaconda,hippopotamus,1,1
S99,squirrel,squid,1,1
S99,zebra,yak,1,1
S99,raven,vulture,1,1
S99,beetle,cockroach,1,1
S99,bluefootedbooby,trout,1,1
S99,snake,gorilla,1,1
S99,lemur,tarsier,1,1
S99,chipmunk,fox,1,1
S99,bat,bengal,1,1
S99,crow,hyena,1,1
S99,mountainlion,bee,1,1
S99,swallow,owl,1,1
S99,hawk,rooster,1,1
S99,hyena,bat,1,1
S99,monarchbutterfly,clownfish,1,1
S99,coyote,tasmaniandevil,1,1
S99,ostrich,bird,1,1
S99,canary,buffalo,1,1
S99,spider,beetle,1,1
S99,bear,fox,1,1
S99,antelope,alligator,1,1
S99,hawk,vulture,1,1
S99,sheep,rat,1,1
S99,hyena,baboon,1,1
S99,katydid,prayingmantis,1,1
S99,elephant,whale,1,1
S99,dolphin,penguin,1,1
S99,bird,octopus,1,1
S99,sealion,seakl,1,1
S99,rat,gerbil,1,1
S99,whaleshark,scorpion,1,1
S99,dinosaur,reptile,1,1
S99,cheetah,spider,1,1
S99,seal,manatee,1,1
S99,bluewhale,killerwhale,1,1
S99,jaguar,tiger,1,1
S99,anteater,hippopotamus,1,1
S99,parrot,macaw,1,1
S99,dolphin,fish,1,1
S99,panda,panther,1,1
