method,simnum,listnum,hit,miss,fa,cr,cost
rw,0,42,390,3,1258,11069,1261.0
goni,0,42,377,16,260,12067,276.0
chan,0,42,151,242,9,12318,251.0
kenett,0,42,268,125,206,12121,331.0
fe,0,42,102,291,9,12318,300.0
rw,0,43,391,2,1278,11049,1280.0
goni,0,43,379,14,268,12059,282.0
chan,0,43,151,242,12,12315,254.0
kenett,0,43,269,124,205,12122,329.0
fe,0,43,103,290,9,12318,299.0
rw,0,44,391,2,1302,11025,1304.0
goni,0,44,380,13,270,12057,283.0
chan,0,44,152,241,7,12320,248.0
kenett,0,44,267,126,207,12120,333.0
fe,0,44,105,288,10,12317,298.0
rw,0,45,392,1,1323,11004,1324.0
goni,0,45,381,12,279,12048,291.0
chan,0,45,152,241,7,12320,248.0
kenett,0,45,265,128,209,12118,337.0
fe,0,45,107,286,11,12316,297.0
rw,0,46,392,1,1342,10985,1343.0
goni,0,46,381,12,287,12040,299.0
chan,0,46,153,240,6,12321,246.0
kenett,0,46,262,131,212,12115,343.0
fe,0,46,109,284,11,12316,295.0
rw,0,47,392,1,1367,10960,1368.0
goni,0,47,381,12,297,12030,309.0
chan,0,47,153,240,6,12321,246.0
kenett,0,47,270,123,204,12123,327.0
fe,0,47,111,282,11,12316,293.0
rw,0,48,392,1,1397,10930,1398.0
goni,0,48,383,10,299,12028,309.0
chan,0,48,153,240,6,12321,246.0
kenett,0,48,281,112,193,12134,305.0
