# Animal scheme file for Italian
# First version
# Created by Sabia Costantini, 2023
# Schema "animali" in Italiano
# Prima versione
# Creato da Sabia Costantini, 2023"
# Additional information regarding this scheme is available at https://github.com/costantini-sabia/Italian_SNAFU_Scheme
Uccello,edredonecomune
Uccello,emu
Uccello,fagiano
Uccello,fagianodimonte
Uccello,falco
Uccello,falcocuculo
Uccello,falcodellaregina
Uccello,falcodipalude
Uccello,falcone
Uccello,falcopellegrino
Uccello,falcopescatore
Uccello,faraona
Uccello,fenicottero
Uccello,fenicotterominore
Uccello,fenicotterorosa
Uccello,finguello
Uccello,fischione
Uccello,fistioneturco
Uccello,folaga
Uccello,francolinodimonte
Uccello,francolinonero
Uccello,fratino
Uccello,gabbiano
Uccello,gabbianocorallino
Uccello,gabbianocorso
Uccello,gabbianoroseo
Uccello,gallina
Uccello,gallinadellacornovaglia
Uccello,gallinelladacqua
Uccello,gallo
Uccello,gallocedrone
Uccello,garzetta
Uccello,gazza
Uccello,germanoreale
Uccello,gheppio
Uccello,ghiandaia
Uccello,ghiandaiamarina
Uccello,gipeto
Uccello,gracchio
Uccello,gracchioalpino
Uccello,gracchiobronzato
Uccello,gracchiocorallino
Uccello,grillaio
Uccello,gru
Uccello,gruccione
Uccello,gufo
Uccello,gufocomune
Uccello,gufodipalude
Uccello,guforeale
Uccello,hoatzin
Uccello,ibis
Uccello,ibissacro
Uccello,kiwi
Uccello,kookaburra
Uccello,lanario
Uccello,lodolaioeuroasiatico
Uccello,lorichetto
Uccello,magnanina
Uccello,marangonedalciuffo
Uccello,marangoneminore
Uccello,martinpescatore
Uccello,marzaiola
Uccello,merlo
Uccello,merloindiano
Uccello,mestolone
Uccello,moretta
Uccello,morettatabaccata
Uccello,moriglione
Uccello,nandu
Uccello,nibbio
Uccello,nibbiobruno
Uccello,nibbioreale
Uccello,nitticora
Uccello,nocciolaia
Uccello,oca
Uccello,ocadelcanada
Uccello,ocaselvatica
Uccello,ochetta
Uccello,panuro
Uccello,papera
Uccello,papero
Uccello,pappagallino
Uccello,pappagallo
Uccello,pappagalloara
Uccello,parrocchetto
Uccello,parrocchettoondulato
Uccello,passero
Uccello,pavoncella
Uccello,pavone
Uccello,pecchiaiolooccidentale
Uccello,pellicano
Uccello,pendolinoeuropeo
Uccello,pernice
Uccello,pernicebianca
Uccello,pernicerossa
Uccello,pernicesarda
Uccello,pettazzurro
Uccello,pettirosso
Uccello,picchio
Uccello,picchiocenerino
Uccello,picchiodorsobianco
Uccello,picchionero
Uccello,picchiorosso
Uccello,picchiorossomaggiore
Uccello,picchiorossomezzano
Uccello,picchiotridattilo
Uccello,picchioverde
Uccello,piccione
Uccello,pinguino
Uccello,pinguinodiadelia
Uccello,pittimareale
Uccello,piviere
Uccello,poiana
Uccello,poianacodabianca
Uccello,poianacodarossa
Uccello,pollame
Uccello,pollo
Uccello,pulcinelladimare
Uccello,quaglia
Uccello,quagliacomune
Uccello,rallo
Uccello,rigogolo
Uccello,rondine
Uccello,rondone
Uccello,rondonemaggiore
Uccello,rondonepallido
Uccello,schiribillagrigiata
Uccello,scolopacide
Uccello,scricciolo
Uccello,sgarzaciuffetto
Uccello,sialia
Uccello,smergo
Uccello,smergomaggiore
Uccello,smeriglio
Uccello,sparviere
Uccello,sparviero
Uccello,spatolabianca
Uccello,starna
Uccello,sterno
Uccello,sterpazzola
Uccello,storno
Uccello,strolaga
Uccello,struzzo
Uccello,sula
Uccello,sulabassana
Uccello,sulapiediazzurri
Uccello,svasso
Uccello,tacchino
Uccello,taccola
Uccello,tarabusino
Uccello,tarabusto
Uccello,tetraonediprateria
Uccello,torcicollo
Uccello,tordo
Uccello,tordoamericano
Uccello,tortora
Uccello,tortoradalcollare
Uccello,tortoradallepalme
Uccello,tottavilla
Uccello,traupidi
Uccello,trogone
Uccello,tucano
Uccello,uccello
Uccello,uccellocanterino
Uccello,upupa
Uccello,urogallo
Uccello,usignolo
Uccello,verdone
Uccello,volatile
Uccello,volpoca
Uccello,zigolo
Verme,lombrico
Verme,verme
Verme,vermesolitario
