animal1,animal2,similarity,uinvite,priming,rw,windowgraph
coyote,zebra,55,0,0,1,0
hamster,puma,52,0,0,0,0
polarbear,crab,11,1,0,0,0
mouse,rabbit,62,0,0,1,0
fish,bull,6,1,1,0,1
jaguar,chicken,55,0,0,0,0
camel,giraffe,56,0,0,1,0
fly,shark,4,0,0,0,0
human,boar,53,0,0,1,0
hedgehog,woodpecker,44,0,0,0,0
sheep,boar,60,1,1,1,1
bobcat,boxturtle,19,1,1,1,1
pig,peacock,43,1,1,1,1
swan,horse,53,1,1,1,1
moose,rat,61,0,0,1,0
swan,dog,36,0,1,0,0
donkey,mule,98,1,1,1,1
parrot,falcon,69,0,0,1,0
llama,giraffe,54,1,1,1,1
crow,robin,81,1,1,0,1
anteater,brownbear,35,1,1,0,1
ferret,polarbear,44,0,0,1,0
panda,redpanda,94,1,1,1,1
puma,dog,58,0,0,0,0
hamster,guineapig,86,0,0,1,0
woolymammoth,dog,24,0,1,0,0
kangaroo,tasmaniandevil,64,0,0,1,0
cheetah,leopard,98,1,1,1,1
goose,spider,4,0,0,0,0
buffalo,jaguar,55,0,0,0,0
wolf,mule,54,0,0,0,0
sheep,moose,66,1,1,1,1
elephant,cat,52,1,1,0,0
lobster,trout,71,1,1,1,1
bluewhale,chicken,22,0,0,0,0
cricket,beetle,95,1,1,0,1
owl,polarbear,15,1,0,0,0
fly,gorilla,6,0,0,0,0
dolphin,fox,34,1,1,1,1
snake,cat,23,0,1,0,0
polarbear,cougar,58,1,0,1,0
cougar,bison,61,0,0,1,0
penguin,coyote,30,1,1,0,1
moose,elk,96,1,1,1,1
deer,cat,59,1,1,1,1
tarantula,hawk,5,1,1,1,1
cat,marmoset,71,1,0,0,0
dog,fox,53,1,1,1,1
hamster,beaver,95,0,0,0,0
donkey,cow,55,0,0,0,0
llama,kangaroo,46,0,0,1,0
elephant,hippopotamus,68,1,1,1,1
camel,lizard,4,1,1,1,1
mockingbird,cat,41,0,0,0,0
seaturtle,wolf,40,0,0,0,0
owl,flamingo,55,0,0,1,0
chicken,elephant,35,0,0,0,0
greatwhiteshark,killerwhale,99,1,1,1,1
horse,deer,57,0,0,0,0
snake,orangutan,15,1,1,1,1
monkey,giraffe,53,1,1,1,1
cat,dog,87,1,1,1,1
grizzlybear,wasp,4,0,0,0,0
zebra,lion,57,1,1,0,0
wildebeest,mongoose,60,0,0,0,0
bat,elephant,10,0,0,0,0
squirrel,ostrich,54,0,0,1,0
orca,sealion,85,0,0,0,0
badger,owl,54,0,0,0,0
elephant,monkey,52,0,0,0,0
whale,shark,73,0,0,1,0
platypus,koala,41,0,0,1,0
penguin,alligator,56,1,1,1,1
elephant,otter,32,0,0,0,0
bluebird,turtle,13,0,0,0,0
gorilla,tick,4,0,0,0,0
dog,hippopotamus,54,0,1,0,0
chinchilla,crocodile,52,0,0,1,0
penguin,bat,56,0,0,0,0
gorilla,turtle,4,0,0,0,0
parrot,cat,43,0,1,0,0
octopus,fish,61,1,1,1,1
ferret,deer,51,0,0,1,0
kangaroo,hyena,52,0,0,1,0
sheep,dog,57,0,0,0,0
moth,alligator,17,0,0,1,0
goldfish,tick,2,0,0,0,0
duck,gopher,43,0,0,0,0
robin,bluebird,96,1,1,1,1
dog,worm,8,0,1,0,0
lizard,emu,5,0,0,1,0
mouse,coyote,52,0,0,0,0
elephant,mink,40,0,0,0,0
piranha,ocelot,25,1,1,0,1
chimpanzee,human,98,0,0,1,0
duck,mouse,45,1,1,1,1
