word,freq,aoa_mean,aoa_sd
alarmist,0.33,13.12,4.74
alarum,0.06,12.38,4.98
alas,3.82,9.78,3.44
albacore,0.16,14.47,4.14
albatross,0.78,11.64,3.13
albinism,0.04,14.17,3.61
albino,1.16,9.79,2.97
album,10.24,6.72,1.84
albumen,#N/A,15.45,4.25
albumin,0.08,14.2,3.65
alcalde,0.27,11,NA
alchemical,0.12,15.64,5.33
alchemist,0.27,12,3.21
alchemy,0.22,13.35,4.43
alcohol,16.57,9,3.56
alcoholic,6.2,9.95,3.89
alcoholism,0.84,11.6,3.49
alcove,0.47,12.11,3.77
alder,0.1,14.08,4.1
alderman,0.8,14.19,2.93
ale,3.96,10.16,4.31
alehouse,0.02,13.76,3.95
aleph,0.12,13.7,2.75
alert,20.61,8.9,1.89
alertness,0.08,9.44,3.28
alexandrine,0.14,14.17,3.54
alfalfa,0.65,8.83,2.53
alfresco,0.14,15.29,4.34
alga,#N/A,13.33,2.6
algebra,1.76,11.47,1.9
algebraic,0.06,11.11,2.11
alginate,0.04,14.86,4.1
algorithm,0.53,14.56,3.29
algorithmic,0.2,15.31,3.68
alias,4.08,9.47,2.85
alibi,8.35,12.5,3.54
alien,17.43,7.5,3.43
alienate,0.57,13.05,2.97
alienation,0.43,13.47,3.32
alienist,0.16,14.07,3.56
aliens,9.63,8.58,2.7
alight,0.41,11.41,3.43
align,0.67,9.85,2.6
alignment,1.31,11.76,2.84
alike,11.35,6.12,2.1
alimentary,0.08,13.21,3.17
alimony,2.59,14.47,4.93
alit,0.04,12.69,2.43
alive,154.47,5.11,2.4
alkali,0.35,14.35,2.78
alkaline,0.31,13.68,3.58
alkaloid,0.16,14.06,2.93
alky,0.41,14.18,3.68
alkyd,0.02,16.62,4.41
all,5161.86,4.24,1.4
allay,0.33,15.77,3.44
allegation,0.53,11.84,2.54
allege,0.22,12.81,2.54
alleged,3.98,12.05,2.9
allegiance,3.12,8.42,3.15
allegiant,0.04,15.18,2.09
allegorical,0.16,12.41,2.72
allegory,0.24,14.16,2.59
allegro,0.51,13.07,5.42
