subj,link1,link2,rw,invite,irt5,irt9
S109,lemon,pineapple,1,1,1,1
S109,snowpea,bellsprout,0,0,1,0
S109,banana,orange,1,1,1,1
S109,broccoli,plum,0,0,1,0
S109,greenkale,chinesepepper,1,1,1,1
S109,grape,broccoli,1,1,1,1
S109,grape,plum,1,1,1,1
S109,snowpea,corn,1,1,1,1
S109,lettuce,broccoli,1,1,1,1
S109,bokchoy,corn,1,1,0,1
S109,banana,corn,0,0,1,0
S109,mushroom,bokchoy,0,0,1,0
S109,bellsprout,greenpepper,1,1,1,1
S109,lettuce,romainelettuce,1,1,1,1
S109,snowpea,greenpepper,1,1,1,1
S109,chinesepepper,greenonion,1,1,1,1
S109,greenbean,brusselsprout,1,1,1,1
S109,lettuce,bellsprout,1,1,0,1
S109,bokchoy,broccoli,0,0,1,0
S109,onion,greenonion,0,0,1,0
S109,carrot,broccoli,1,1,1,1
S109,mushroom,onion,1,1,1,1
S109,grape,strawberry,0,0,1,0
S109,carrot,kale,1,0,0,0
S109,cauliflower,brusselsprout,1,1,1,1
S109,romainelettuce,greenbean,1,1,1,1
S109,strawberry,pineapple,1,1,1,1
S109,carrot,bokchoy,0,0,1,0
S109,kale,broccoli,1,1,1,1
S110,radish,rice,0,0,1,0
S110,celery,corn,1,1,0,1
S110,carrot,cauliflower,1,1,1,1
S110,garlic,chive,1,1,1,1
S110,carrot,broccoli,0,0,1,0
S110,artichoke,asparagus,1,1,1,1
S110,celery,pepper,1,1,0,1
S110,redbean,squash,1,1,1,1
S110,redpepper,greenpepper,1,1,1,1
S110,carrot,pepper,1,1,1,1
S110,greenbean,greenpepper,1,1,1,1
S110,rice,bean,0,0,1,0
S110,garlic,onion,1,1,0,1
S110,turnip,cabbage,0,0,1,0
S110,cabbage,potato,1,1,1,1
S110,celery,chive,1,1,1,1
S110,redbean,whitebean,0,0,1,0
S110,greenbean,pea,1,1,1,1
S110,pea,greenpepper,0,0,1,0
S110,artichoke,greenbean,0,0,1,0
S110,radish,squash,0,0,1,0
S110,pepper,onion,1,1,0,1
S110,broccoli,bean,1,1,1,1
S110,carrot,onion,0,0,1,0
S110,dill,kale,0,0,1,0
S110,kale,onion,1,1,1,1
S110,turnip,pepper,1,1,1,1
S110,lentil,limabean,1,1,1,1
S110,redpepper,greenbean,0,0,1,0
S110,redpepper,kale,1,1,1,1
S110,garlic,potato,0,0,1,0
S110,broccoli,brusselsprout,1,1,1,1
S110,lentil,redbean,0,0,1,0
S110,squash,asparagus,0,0,1,0
S110,celery,squash,0,0,1,0
S110,kale,greenpepper,0,0,1,0
S110,broccoli,cabbage,0,0,1,0
S110,carrot,cabbage,0,0,1,0
S110,bean,eggplant,0,0,1,0
S110,dill,pumpkin,1,1,1,1
S110,brusselsprout,potato,0,0,1,0
S110,cabbage,brusselsprout,1,1,1,1
S110,garlic,sweetpotato,0,0,1,0
S110,limabean,asparagus,1,1,1,1
S110,carrot,pea,1,1,1,1
S110,dill,cabbage,1,1,0,1
S110,corn,squash,1,1,1,1
S110,spinach,squash,1,1,1,1
S110,redbean,blackbean,1,1,1,1
S110,eggplant,zucchini,1,1,1,1
S110,watercress,potato,1,1,1,1
S110,artichoke,pumpkin,1,1,1,1
S110,sweetpotato,potato,1,1,0,1
S110,whitebean,blackbean,1,1,1,1
S110,radish,bean,1,1,1,1
S110,squash,zucchini,1,1,0,1
S110,carrot,turnip,1,1,1,1
S110,artichoke,squash,1,1,1,1
S110,sweetpotato,leek,0,0,1,0
S110,radish,spinach,1,1,1,1
S110,broccoli,cauliflower,1,1,1,1
S110,radish,corn,0,0,1,0
S110,limabean,whitebean,0,0,1,0
S110,cabbage,onion,1,1,1,1
S110,cabbage,watercress,0,0,1,0
S110,yam,sweetpotato,1,1,1,1
S110,asparagus,eggplant,1,1,0,1
S110,radish,asparagus,1,1,1,1
S110,celery,asparagus,1,1,1,1
S110,lentil,whitebean,1,1,1,1
S110,squash,watercress,1,1,1,1
S110,garlic,leek,1,1,1,1
S110,radish,pepper,0,0,1,0
S110,bean,chard,1,1,1,1
S110,leek,chive,0,0,1,0
S110,bean,asparagus,1,1,1,1
S110,radish,carrot,1,1,1,1
S110,potato,leek,1,1,1,1
S110,artichoke,redbean,0,0,1,0
S110,rice,chard,1,1,1,1
S111,onion,carrot,1,1,1,1
S111,onion,corn,0,0,1,1
S111,tomato,cabbage,1,1,0,0
S111,tomato,onion,0,0,1,0
S111,squash,greenbean,1,1,1,1
S111,onion,pickle,1,1,1,1
S111,corn,squash,0,0,1,0
S111,squash,carrot,1,0,0,0
S111,tomato,squash,1,0,0,1
S111,pickle,broccoli,1,1,1,1
S111,corn,greenbean,1,1,1,1
S111,onion,squash,1,1,1,1
S111,corn,cabbage,1,1,1,1
S111,onion,greenbean,1,1,1,1
S111,onion,cabbage,1,1,0,0
S111,corn,pickle,1,0,0,0
S111,tomato,pickle,1,1,0,0
S112,spinach,garlic,1,1,1,1
S112,broccoli,lettuce,1,1,0,1
S112,broccoli,pea,0,0,1,0
S112,spinach,potato,1,1,0,1
S112,squash,celery,1,1,1,1
S112,beet,pea,1,0,0,0
S112,potato,carrot,1,1,1,1
S112,spinach,lettuce,0,0,1,0
S112,potato,pea,1,1,0,0
S112,potato,beet,1,1,1,1
S112,onion,spinach,1,1,0,1
S112,onion,olive,1,1,0,1
S112,celery,lettuce,1,1,0,1
S112,eggplant,cucumber,1,1,1,1
S112,corn,lettuce,1,1,1,1
S112,carrot,pea,1,1,1,1
S112,corn,squash,1,1,0,0
S112,lettuce,cucumber,1,1,1,0
S112,spinach,carrot,0,0,1,0
S112,spinach,celery,1,1,1,1
S112,corn,beet,1,1,1,1
S112,spinach,pea,1,1,1,1
S112,onion,lettuce,0,0,1,0
S112,onion,beet,1,1,0,0
S112,lettuce,olive,1,1,1,1
S112,corn,cucumber,1,1,1,1
S112,onion,eggplant,1,1,0,1
S112,celery,carrot,1,1,1,1
S112,spinach,broccoli,1,1,0,1
S113,kale,radish,0,0,1,0
S113,cauliflower,corn,0,0,1,0
S113,cauliflower,potato,1,1,1,1
S113,broccoli,pea,0,0,1,0
S113,potato,cabbage,0,0,1,0
S113,kale,potato,0,0,1,0
S113,spinach,lettuce,1,0,1,1
S113,greenbean,pea,1,1,1,1
S113,radish,potato,1,1,1,1
S113,cauliflower,cabbage,1,1,1,0
S113,radish,turnip,1,1,1,1
S113,cauliflower,broccoli,1,1,1,1
S113,spinach,onion,1,0,1,1
S113,spinach,parsley,1,1,1,1
S113,kale,lettuce,1,1,1,1
S113,radish,onion,1,0,0,0
S113,brusselsprout,cabbage,0,0,1,0
S113,onion,carrot,1,1,1,1
S113,cauliflower,pea,1,1,1,1
S113,carrot,pea,1,1,1,1
S113,corn,potato,1,1,1,1
S113,brusselsprout,asparagus,1,1,1,1
S113,kale,spinach,1,1,1,1
S113,greenbean,onion,1,0,1,1
S113,corn,greenbean,1,1,1,1
S113,kale,cabbage,1,1,1,1
S113,potato,lettuce,1,1,1,1
S113,parsley,turnip,1,1,1,1
S113,spinach,pea,1,1,1,1
S113,corn,broccoli,1,1,1,1
S113,asparagus,greenbean,1,1,1,1
S113,onion,pea,0,0,1,0
S113,greenbean,carrot,1,1,1,1
S113,broccoli,cabbage,1,1,1,1
S113,kale,parsley,1,0,1,1
S113,kale,turnip,1,0,1,0
S113,greenbean,cabbage,1,0,1,1
S113,radish,pumpkin,1,1,1,1
S113,brusselsprout,kale,1,1,1,1
